"CountryCode","CountryName","Region","DevelopmentStatus","LeastDevelopedCountries","LandlockedDevelopingCountries","SmallIslandDevelopingState","membership","Col1","Col2"
"BHR","Bahrain","Western Asia","developing country",,,,,4.7,0.5
"BRA","Brazil","South America","developing country",,,,,1.5,7.0
"CHN","China","Eastern Asia","developing country",,,,"PM",1.6,-4.2
"CRI","Costa Rica","Central America","developing country",,,,,5.0,8.7
"FRA","France","Western Europe","developed country",,,,"PM",-11.9,12.9
"GAB","Gabon","Middle Africa","developing country",,,,,2.7,2.7
"GMB","Gambia","Western Africa","developing country","Least developed country",,,,-0.4,-1.0
"JPN","Japan","Eastern Asia","developed country",,,,,-11.1,14.3
"KEN","Kenya","Eastern Africa","developing country",,,,,2.1,1.9
"PRT","Portugal","Southern Europe","developed country",,,,,-11.6,13.4
"RUS","Russian Federation","Eastern Europe","developed country",,,,"PM",-0.2,-4.2
"SVN","Slovenia","Southern Europe","developed country",,,,,-11.7,13.1
"SWE","Sweden","Northern Europe","developed country",,,,,-12.4,12.5
"GBR","United Kingdom of Great Britain and Northern Ireland","Northern Europe","developed country",,,,"PM",-12.4,12.5
"USA","United States of America","Northern America","developed country",,,,"PM",-14.4,10.6
"AFG","Afghanistan","Southern Asia","developing country","Least developed country","Landlocked developing country",,,-2.9,-0.9
"ALB","Albania","Southern Europe","developed country",,,,,-12.0,12.5
"DZA","Algeria","Northern Africa","developing country",,,,,1.5,-3.3
"AND","Andorra","Southern Europe","developed country",,,,,-11.3,13.4
"AGO","Angola","Middle Africa","developing country","Least developed country",,,,1.4,1.9
"ATG","Antigua and Barbuda","Caribbean","developing country",,,"Small island developing State",,3.0,2.7
"ARG","Argentina","South America","developing country",,,,,3.2,10.4
"ARM","Armenia","Western Asia","developing country",,"Landlocked developing country",,,5.4,11.3
"AUS","Australia","Australia and New Zealand","developed country",,,,,-10.6,15.3
"AUT","Austria","Western Europe","developed country",,,,,-11.7,13.1
"AZE","Azerbaijan","Western Asia","developing country",,"Landlocked developing country",,,2.2,-1.7
"BHS","Bahamas","Caribbean","developing country",,,"Small island developing State",,5.2,6.7
"BGD","Bangladesh","Southern Asia","developing country","Least developed country",,,,3.6,-2.2
"BRB","Barbados","Caribbean","developing country",,,"Small island developing State",,4.4,5.0
"BLR","Belarus","Eastern Europe","developed country",,,,,-1.6,-4.7
"BEL","Belgium","Western Europe","developed country",,,,,-12.6,12.2
"BLZ","Belize","Central America","developing country",,,"Small island developing State",,5.6,6.5
"BEN","Benin","Western Africa","developing country","Least developed country",,,,3.7,1.9
"BTN","Bhutan","Southern Asia","developing country","Least developed country","Landlocked developing country",,,4.4,3.7
"BOL","Bolivia (Plurinational State of)","South America","developing country",,"Landlocked developing country",,,-0.3,8.8
"BIH","Bosnia and Herzegovina","Southern Europe","developed country",,,,,-11.4,13.5
"BWA","Botswana","Southern Africa","developing country",,"Landlocked developing country",,,5.5,5.3
"BRN","Brunei Darussalam","South-Eastern Asia","developing country",,,,,2.7,-1.9
"BGR","Bulgaria","Eastern Europe","developed country",,,,,-12.0,12.8
"BFA","Burkina Faso","Western Africa","developing country","Least developed country","Landlocked developing country",,,3.0,1.8
"BDI","Burundi","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,6.0,4.5
"KHM","Cambodia","South-Eastern Asia","developing country","Least developed country",,,,2.1,-0.4
"CMR","Cameroon","Middle Africa","developing country",,,,,2.0,1.7
"CAN","Canada","Northern America","developed country",,,,,-13.9,11.1
"CAF","Central African Republic","Middle Africa","developing country","Least developed country","Landlocked developing country",,,-0.8,4.0
"TCD","Chad","Middle Africa","developing country","Least developed country","Landlocked developing country",,,-3.4,1.0
"CHL","Chile","South America","developing country",,,,,1.5,11.8
"COL","Colombia","South America","developing country",,,,,3.3,5.8
"COM","Comoros","Eastern Africa","developing country","Least developed country",,"Small island developing State",,4.1,-0.1
"COG","Congo","Middle Africa","developing country",,,,,-0.1,1.1
"CIV","Côte d'Ivoire","Western Africa","developing country",,,,,0.9,2.5
"HRV","Croatia","Southern Europe","developed country",,,,,-10.5,14.0
"CUB","Cuba","Caribbean","developing country",,,"Small island developing State",,1.5,-4.3
"CYP","Cyprus","Western Asia","developing country",,,,,-11.1,13.6
"CZE","Czechia","Eastern Europe","developed country",,,,,-12.4,12.5
"PRK","Democratic People's Republic of Korea","Eastern Asia","developing country",,,,,0.0,-4.7
"COD","Democratic Republic of the Congo","Middle Africa","developing country","Least developed country",,,,-0.2,-0.4
"DNK","Denmark","Northern Europe","developed country",,,,,-12.4,12.5
"DJI","Djibouti","Eastern Africa","developing country","Least developed country",,,,3.6,1.1
"DMA","Dominica","Caribbean","developing country",,,"Small island developing State",,2.6,4.2
"DOM","Dominican Republic","Caribbean","developing country",,,"Small island developing State",,5.6,7.1
"ECU","Ecuador","South America","developing country",,,,,7.0,3.8
"EGY","Egypt","Northern Africa","developing country",,,,,2.0,-4.0
"SLV","El Salvador","Central America","developing country",,,,,5.5,8.2
"GNQ","Equatorial Guinea","Middle Africa","developing country","Least developed country",,,,-4.2,1.0
"ERI","Eritrea","Eastern Africa","developing country","Least developed country",,,,5.1,1.9
"EST","Estonia","Northern Europe","developed country",,,,,-12.2,12.8
"ETH","Ethiopia","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,2.8,1.4
"FJI","Fiji","Melanesia","developing country",,,"Small island developing State",,2.0,8.4
"FIN","Finland","Northern Europe","developed country",,,,,-12.4,12.5
"GEO","Georgia","Western Asia","developing country",,,,,-7.7,15.8
"DEU","Germany","Western Europe","developed country",,,,,-12.3,12.3
"GHA","Ghana","Western Africa","developing country",,,,,3.3,4.2
"GRC","Greece","Southern Europe","developed country",,,,,-11.4,13.1
"GRD","Grenada","Caribbean","developing country",,,"Small island developing State",,4.1,4.7
"GTM","Guatemala","Central America","developing country",,,,,3.9,8.5
"GIN","Guinea","Western Africa","developing country","Least developed country",,,,0.8,-1.3
"GNB","Guinea-Bissau","Western Africa","developing country","Least developed country",,"Small island developing State",,0.8,4.8
"GUY","Guyana","South America","developing country",,,"Small island developing State",,3.7,2.9
"HTI","Haiti","Caribbean","developing country","Least developed country",,"Small island developing State",,5.0,5.2
"HND","Honduras","Central America","developing country",,,,,5.1,8.5
"HUN","Hungary","Eastern Europe","developed country",,,,,-12.4,12.5
"ISL","Iceland","Northern Europe","developed country",,,,,-12.4,12.5
"IND","India","Southern Asia","developing country",,,,,1.6,-2.6
"IDN","Indonesia","South-Eastern Asia","developing country",,,,,2.7,-2.7
"IRN","Iran (Islamic Republic of)","Southern Asia","developing country",,,,,0.6,-4.5
"IRQ","Iraq","Western Asia","developing country",,,,,-0.3,4.5
"IRL","Ireland","Northern Europe","developed country",,,,,-11.7,13.1
"ISR","Israel","Western Asia","developing country",,,,,-9.9,16.9
"ITA","Italy","Southern Europe","developed country",,,,,-12.2,12.8
"JAM","Jamaica","Caribbean","developing country",,,"Small island developing State",,3.6,3.6
"JOR","Jordan","Western Asia","developing country",,,,,5.3,2.7
"KWT","Kuwait","Western Asia","developing country",,,,,3.5,-0.9
"KGZ","Kyrgyzstan","Central Asia","developing country",,"Landlocked developing country",,,-0.8,-0.8
"LAO","Lao People's Democratic Republic","South-Eastern Asia","developing country","Least developed country","Landlocked developing country",,,1.2,-1.1
"LVA","Latvia","Northern Europe","developed country",,,,,-11.6,12.9
"LBN","Lebanon","Western Asia","developing country",,,,,6.1,0.6
"LSO","Lesotho","Southern Africa","developing country","Least developed country","Landlocked developing country",,,0.9,2.0
"LBR","Liberia","Western Africa","developing country","Least developed country",,,,0.4,6.8
"LIE","Liechtenstein","Western Europe","developed country",,,,,-10.9,13.4
"LTU","Lithuania","Northern Europe","developed country",,,,,-11.9,12.9
"LUX","Luxembourg","Western Europe","developed country",,,,,-12.4,12.5
"MDG","Madagascar","Eastern Africa","developing country","Least developed country",,,,2.5,4.0
"MWI","Malawi","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,3.7,5.5
"MYS","Malaysia","South-Eastern Asia","developing country",,,,,2.2,-2.8
"MDV","Maldives","Southern Asia","developing country",,,"Small island developing State",,6.4,4.5
"MLI","Mali","Western Africa","developing country","Least developed country","Landlocked developing country",,,2.3,1.2
"MLT","Malta","Southern Europe","developed country",,,,,-11.7,13.1
"MHL","Marshall Islands","Micronesia","developing country",,,"Small island developing State",,-7.7,17.2
"MRT","Mauritania","Western Africa","developing country","Least developed country",,,,5.0,0.6
"MUS","Mauritius","Eastern Africa","developing country",,,"Small island developing State",,4.3,4.4
"MEX","Mexico","Central America","developing country",,,,,3.9,9.4
"FSM","Micronesia (Federated States of)","Micronesia","developing country",,,"Small island developing State",,-9.1,15.6
"MCO","Monaco","Western Europe","developed country",,,,,-11.9,12.9
"MNG","Mongolia","Eastern Asia","developing country",,"Landlocked developing country",,,3.5,3.8
"MAR","Morocco","Northern Africa","developing country",,,,,5.9,1.7
"MOZ","Mozambique","Eastern Africa","developing country","Least developed country",,,,1.9,1.3
"MMR","Myanmar","South-Eastern Asia","developing country","Least developed country",,,,0.9,-3.9
"NAM","Namibia","Southern Africa","developing country",,,,,1.6,1.4
"NPL","Nepal","Southern Asia","developing country","Least developed country","Landlocked developing country",,,2.6,1.4
"NLD","Netherlands","Western Europe","developed country",,,,,-12.6,12.2
"NZL","New Zealand","Australia and New Zealand","developed country",,,,,-10.3,14.3
"NIC","Nicaragua","Central America","developing country",,,,,-3.8,-2.0
"NER","Niger","Western Africa","developing country","Least developed country","Landlocked developing country",,,0.1,0.0
"NGA","Nigeria","Western Africa","developing country",,,,,1.7,0.8
"NOR","Norway","Northern Europe","developed country",,,,,-13.0,11.8
"OMN","Oman","Western Asia","developing country",,,,,2.1,-3.6
"PAK","Pakistan","Southern Asia","developing country",,,,,2.9,-2.5
"PLW","Palau","Micronesia","developing country",,,"Small island developing State",,-8.8,16.3
"PAN","Panama","Central America","developing country",,,,,5.2,9.1
"PNG","Papua New Guinea","Melanesia","developing country",,,"Small island developing State",,3.2,7.6
"PRY","Paraguay","South America","developing country",,"Landlocked developing country",,,4.6,8.4
"PER","Peru","South America","developing country",,,,,4.4,9.6
"PHL","Philippines","South-Eastern Asia","developing country",,,,,2.6,2.9
"POL","Poland","Eastern Europe","developed country",,,,,-12.4,12.5
"QAT","Qatar","Western Asia","developing country",,,,,2.9,-1.5
"KOR","Republic of Korea","Eastern Asia","developing country",,,,,-9.2,14.6
"MDA","Republic of Moldova","Eastern Europe","developed country",,"Landlocked developing country",,,-8.0,14.8
"ROU","Romania","Eastern Europe","developed country",,,,,-11.6,13.1
"RWA","Rwanda","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,-1.5,0.4
"KNA","Saint Kitts and Nevis","Caribbean","developing country",,,"Small island developing State",,-2.3,2.6
"LCA","Saint Lucia","Caribbean","developing country",,,"Small island developing State",,4.2,2.9
"VCT","Saint Vincent and the Grenadines","Caribbean","developing country",,,"Small island developing State",,1.2,3.8
"WSM","Samoa","Polynesia","developing country",,,"Small island developing State",,3.2,10.9
"SMR","San Marino","Southern Europe","developed country",,,,,-10.8,13.7
"STP","Sao Tome and Principe","Middle Africa","developing country","Least developed country",,"Small island developing State",,-3.2,2.5
"SAU","Saudi Arabia","Western Asia","developing country",,,,,5.3,1.1
"SEN","Senegal","Western Africa","developing country","Least developed country",,,,3.3,0.3
"SYC","Seychelles","Eastern Africa","developing country",,,"Small island developing State",,-4.3,3.6
"SLE","Sierra Leone","Western Africa","developing country","Least developed country",,,,1.3,2.5
"SGP","Singapore","South-Eastern Asia","developing country",,,"Small island developing State",,-0.9,2.6
"SVK","Slovakia","Eastern Europe","developed country",,,,,-11.4,13.2
"SLB","Solomon Islands","Melanesia","developing country","Least developed country",,"Small island developing State",,4.6,7.1
"SOM","Somalia","Eastern Africa","developing country","Least developed country",,,,-1.3,-1.4
"ZAF","South Africa","Southern Africa","developing country",,,,,1.5,0.0
"ESP","Spain","Southern Europe","developed country",,,,,-10.8,13.9
"LKA","Sri Lanka","Southern Asia","developing country",,,,,3.7,-1.4
"SDN","Sudan","Northern Africa","developing country","Least developed country",,,,1.0,-4.7
"SWZ","Swaziland","Southern Africa","developing country",,"Landlocked developing country",,,-1.8,1.6
"SYR","Syrian Arab Republic","Western Asia","developing country",,,,,-1.6,-5.5
"TJK","Tajikistan","Central Asia","developing country",,"Landlocked developing country",,,-1.0,-2.1
"THA","Thailand","South-Eastern Asia","developing country",,,,,2.0,2.9
"MKD","The former Yugoslav Republic of Macedonia","Southern Europe","developed country",,"Landlocked developing country",,,-10.1,13.9
"TGO","Togo","Western Africa","developing country","Least developed country",,,,4.5,1.7
"TTO","Trinidad and Tobago","Caribbean","developing country",,,"Small island developing State",,2.8,3.7
"TUN","Tunisia","Northern Africa","developing country",,,,,3.9,0.1
"TUR","Turkey","Western Asia","developing country",,,,,-6.6,15.8
"TKM","Turkmenistan","Central Asia","developing country",,"Landlocked developing country",,,-2.2,-2.0
"UGA","Uganda","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,0.9,0.8
"UKR","Ukraine","Eastern Europe","developed country",,,,,-6.5,16.7
"ARE","United Arab Emirates","Western Asia","developing country",,,,,3.9,1.1
"TZA","United Republic of Tanzania","Eastern Africa","developing country","Least developed country",,,,4.3,3.4
"URY","Uruguay","South America","developing country",,,,,4.1,7.6
"UZB","Uzbekistan","Central Asia","developing country",,"Landlocked developing country",,,-2.6,-3.3
"VUT","Vanuatu","Melanesia","developing country","Least developed country",,"Small island developing State",,1.4,7.8
"VEN","Venezuela (Bolivarian Republic of)","South America","developing country",,,,,-0.6,-4.5
"VNM","Viet Nam","South-Eastern Asia","developing country",,,,,1.7,-4.1
"YEM","Yemen","Western Asia","developing country","Least developed country",,,,2.7,-0.2
"ZMB","Zambia","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,2.4,1.9
"ZWE","Zimbabwe","Eastern Africa","developing country",,"Landlocked developing country",,,-0.9,-4.2
"LBY","Libya","Northern Africa","developing country",,,,,-4.8,3.2
"CPV","Cabo Verde","Western Africa","developing country",,,"Small island developing State",,-5.5,4.1
"KAZ","Kazakhstan","Central Asia","developing country",,"Landlocked developing country",,,-5.6,1.6
"KIR","Kiribati","Micronesia","developing country","Least developed country",,"Small island developing State",,-5.1,6.5
"MNE","Montenegro","Southern Europe","developed country",,,,,-6.2,14.5
"NRU","Nauru","Micronesia","developing country",,,"Small island developing State",,-5.8,6.0
"SRB","Serbia","Southern Europe","developed country",,,,,-5.0,14.7
"SSD","South Sudan","Eastern Africa","developing country","Least developed country","Landlocked developing country",,,-5.2,4.7
"CHE","Switzerland","Western Europe","developed country",,,,,-8.6,13.9
"TLS","Timor-Leste","South-Eastern Asia","developing country","Least developed country",,"Small island developing State",,3.3,8.9
"TON","Tonga","Polynesia","developing country",,,"Small island developing State",,-4.5,5.2
"TUV","Tuvalu","Polynesia","developing country","Least developed country",,"Small island developing State",,2.8,8.0
